1;113;1000;0.01
2;46;2000;0.01
3;54;4000;0.01
4;51;8000;0.01
5;43;16000;0.01
6;52;32000;0.01
7;82;64000;0.01
8;59;120000;0.01
1;41;1000;0.25
2;47;2000;0.25
3;191;4000;0.25
4;197;8000;0.25
5;43;16000;0.25
6;40;32000;0.25
7;46;64000;0.25
8;57;120000;0.25
1;38;1000;0.5
2;171;2000;0.5
3;32;4000;0.5
4;44;8000;0.5
5;37;16000;0.5
6;28;32000;0.5
7;67;64000;0.5
8;44;120000;0.5
1;40;1000;0.75
2;70;2000;0.75
3;38;4000;0.75
4;43;8000;0.75
5;428;16000;0.75
6;31;32000;0.75
7;66;64000;0.75
8;78;120000;0.75
1;149;1000;0.99
2;182;2000;0.99
3;170;4000;0.99
4;30;8000;0.99
5;43;16000;0.99
6;51;32000;0.99
7;42;64000;0.99
8;111;120000;0.99
1;87;1000;0.01
2;105;2000;0.01
3;54;4000;0.01
4;64;8000;0.01
5;66;16000;0.01
6;56;32000;0.01
7;97;64000;0.01
8;53;120000;0.01
1;45;1000;0.25
2;46;2000;0.25
3;45;4000;0.25
4;94;8000;0.25
5;44;16000;0.25
6;34;32000;0.25
7;45;64000;0.25
8;39;120000;0.25
1;201;1000;0.5
2;169;2000;0.5
3;56;4000;0.5
4;36;8000;0.5
5;36;16000;0.5
6;73;32000;0.5
7;40;64000;0.5
8;42;120000;0.5
1;37;1000;0.75
2;29;2000;0.75
3;165;4000;0.75
4;52;8000;0.75
5;44;16000;0.75
6;85;32000;0.75
7;45;64000;0.75
8;969;120000;0.75
1;63;1000;0.99
2;87;2000;0.99
3;217;4000;0.99
4;76;8000;0.99
5;81;16000;0.99
6;94;32000;0.99
7;1488;64000;0.99
8;612;120000;0.99
1;58;1000;0.01
2;84;2000;0.01
3;84;4000;0.01
4;141;8000;0.01
5;72;16000;0.01
6;83;32000;0.01
7;104;64000;0.01
8;100;120000;0.01
1;105;1000;0.25
2;177;2000;0.25
3;88;4000;0.25
4;117;8000;0.25
5;76;16000;0.25
6;55;32000;0.25
7;64;64000;0.25
8;69;120000;0.25
1;82;1000;0.5
2;62;2000;0.5
3;68;4000;0.5
4;87;8000;0.5
5;74;16000;0.5
6;167;32000;0.5
7;59;64000;0.5
8;138;120000;0.5
1;347;1000;0.75
2;47;2000;0.75
3;42;4000;0.75
4;54;8000;0.75
5;42;16000;0.75
6;35;32000;0.75
7;39;64000;0.75
8;50;120000;0.75
1;180;1000;0.99
2;55;2000;0.99
3;44;4000;0.99
4;48;8000;0.99
5;55;16000;0.99
6;37;32000;0.99
7;34;64000;0.99
8;43;120000;0.99
