1;66;1000;0.01
2;104;2000;0.01
3;154;4000;0.01
4;69;8000;0.01
5;61;16000;0.01
6;56;32000;0.01
7;66;64000;0.01
8;62;120000;0.01
1;128;1000;0.25
2;78;2000;0.25
3;80;4000;0.25
4;201;8000;0.25
5;56;16000;0.25
6;59;32000;0.25
7;122;64000;0.25
8;237;120000;0.25
1;50;1000;0.5
2;46;2000;0.5
3;151;4000;0.5
4;141;8000;0.5
5;73;16000;0.5
6;59;32000;0.5
7;327;64000;0.5
8;201;120000;0.5
1;91;1000;0.75
2;50;2000;0.75
3;38;4000;0.75
4;40;8000;0.75
5;74;16000;0.75
6;158;32000;0.75
7;1317;64000;0.75
8;41;120000;0.75
1;50;1000;0.99
2;78;2000;0.99
3;130;4000;0.99
4;87;8000;0.99
5;60;16000;0.99
6;224;32000;0.99
7;45;64000;0.99
8;57;120000;0.99
1;45;1000;0.01
2;46;2000;0.01
3;84;4000;0.01
4;46;8000;0.01
5;76;16000;0.01
6;57;32000;0.01
7;38;64000;0.01
8;68;120000;0.01
1;90;1000;0.25
2;98;2000;0.25
3;48;4000;0.25
4;52;8000;0.25
5;58;16000;0.25
6;111;32000;0.25
7;57;64000;0.25
8;165;120000;0.25
1;59;1000;0.5
2;45;2000;0.5
3;50;4000;0.5
4;49;8000;0.5
5;54;16000;0.5
6;76;32000;0.5
7;76;64000;0.5
8;35;120000;0.5
1;58;1000;0.75
2;474;2000;0.75
3;43;4000;0.75
4;190;8000;0.75
5;47;16000;0.75
6;53;32000;0.75
7;45;64000;0.75
8;59;120000;0.75
1;491;1000;0.99
2;50;2000;0.99
3;62;4000;0.99
4;37;8000;0.99
5;53;16000;0.99
6;181;32000;0.99
7;64;64000;0.99
8;45;120000;0.99
1;72;1000;0.01
2;87;2000;0.01
3;45;4000;0.01
4;81;8000;0.01
5;76;16000;0.01
6;62;32000;0.01
7;50;64000;0.01
8;167;120000;0.01
1;92;1000;0.25
2;46;2000;0.25
3;51;4000;0.25
4;87;8000;0.25
5;67;16000;0.25
6;40;32000;0.25
7;71;64000;0.25
8;41;120000;0.25
1;64;1000;0.5
2;129;2000;0.5
3;60;4000;0.5
4;36;8000;0.5
5;58;16000;0.5
6;53;32000;0.5
7;56;64000;0.5
8;58;120000;0.5
1;46;1000;0.75
2;40;2000;0.75
3;59;4000;0.75
4;57;8000;0.75
5;63;16000;0.75
6;90;32000;0.75
7;54;64000;0.75
8;60;120000;0.75
1;47;1000;0.99
2;273;2000;0.99
3;686;4000;0.99
4;66;8000;0.99
5;41;16000;0.99
6;65;32000;0.99
7;115;64000;0.99
8;215;120000;0.99
