1;227;1000;0.01
2;257;2000;0.01
3;420;4000;0.01
4;7034;8000;0.01
5;568;16000;0.01
6;948;32000;0.01
7;375;64000;0.01
8;670;120000;0.01
1;366;1000;0.25
2;535;2000;0.25
3;292;4000;0.25
4;555;8000;0.25
5;666;16000;0.25
6;474;32000;0.25
7;471;64000;0.25
8;614;120000;0.25
1;572;1000;0.5
2;789;2000;0.5
3;668;4000;0.5
4;365;8000;0.5
5;951;16000;0.5
6;937;32000;0.5
7;633;64000;0.5
8;692;120000;0.5
1;567;1000;0.75
2;692;2000;0.75
3;1051;4000;0.75
4;711;8000;0.75
5;892;16000;0.75
6;474;32000;0.75
7;618;64000;0.75
8;8413;120000;0.75
1;504;1000;0.99
2;429;2000;0.99
3;755;4000;0.99
4;1113;8000;0.99
5;869;16000;0.99
6;1115;32000;0.99
7;679;64000;0.99
8;847;120000;0.99
1;505;1000;0.01
2;232;2000;0.01
3;1073;4000;0.01
4;802;8000;0.01
5;547;16000;0.01
6;494;32000;0.01
7;628;64000;0.01
8;523;120000;0.01
1;362;1000;0.25
2;341;2000;0.25
3;642;4000;0.25
4;676;8000;0.25
5;559;16000;0.25
6;633;32000;0.25
7;746;64000;0.25
8;1018;120000;0.25
1;443;1000;0.5
2;651;2000;0.5
3;886;4000;0.5
4;1072;8000;0.5
5;784;16000;0.5
6;1240;32000;0.5
7;1321;64000;0.5
8;1156;120000;0.5
1;547;1000;0.75
2;741;2000;0.75
3;858;4000;0.75
4;1002;8000;0.75
5;486;16000;0.75
6;1430;32000;0.75
7;746;64000;0.75
8;1107;120000;0.75
1;604;1000;0.99
2;888;2000;0.99
3;534;4000;0.99
4;680;8000;0.99
5;781;16000;0.99
6;1000;32000;0.99
7;971;64000;0.99
8;1023;120000;0.99
1;362;1000;0.01
2;1140;2000;0.01
3;706;4000;0.01
4;474;8000;0.01
5;480;16000;0.01
6;520;32000;0.01
7;540;64000;0.01
8;686;120000;0.01
1;460;1000;0.25
2;369;2000;0.25
3;582;4000;0.25
4;561;8000;0.25
5;623;16000;0.25
6;955;32000;0.25
7;612;64000;0.25
8;568;120000;0.25
1;364;1000;0.5
2;464;2000;0.5
3;511;4000;0.5
4;700;8000;0.5
5;737;16000;0.5
6;691;32000;0.5
7;751;64000;0.5
8;759;120000;0.5
1;761;1000;0.75
2;438;2000;0.75
3;740;4000;0.75
4;1430;8000;0.75
5;575;16000;0.75
6;997;32000;0.75
7;1186;64000;0.75
8;869;120000;0.75
1;1950;1000;0.99
2;977;2000;0.99
3;812;4000;0.99
4;1060;8000;0.99
5;841;16000;0.99
6;761;32000;0.99
7;1146;64000;0.99
8;1276;120000;0.99
